jobTitle,companyName,meanPay,payRange
Data Analyst - Hourly,NSW Government,A$64,A$62 - A$67
Data Analyst,Freelancer,"A$110,000",A$105K - A$114K
Data Analyst,Grant Thornton,"A$94,745",A$91K - A$98K
Data Analyst - Hourly,Nielsen,A$30,A$29 - A$31
Data Analyst,Zomato,"A$55,800",A$53K - A$58K
Data Analyst,Dan Murphy's,"A$90,000",A$87K - A$94K
Data Analyst,Sydney Trains,"A$104,667",A$100K - A$109K
Data Analyst,Domain Group,"A$123,755",A$118K - A$128K
Data Analyst,NSW Department of Education and Communities ,"A$92,570",A$89K - A$96K
Data Analyst - Hourly,VMS,A$31,A$29 - A$32
Data Analyst,Energetics Holdings,"A$66,440",A$64K - A$69K
Data Analyst - Contractor,The Migration Company,"A$50,000",A$48K - A$52K
Data Analyst - Hourly Contractor,Conduent,A$31,A$30 - A$32
Data Analyst,Data2Decisions,"A$61,878",A$59K - A$64K
Data Analyst - Hourly,Mafematica,A$33,A$31 - A$34
Data Analyst - Hourly Contractor,Utilities,A$106,A$102 - A$111
Data Analyst,Strategic Analysis,"A$50,682",A$49K - A$53K
Data Analyst,Melba Fresh,"A$54,153",A$52K - A$56K
Data Analyst,digiBlitz Technologies,"A$74,338",A$71K - A$78K
Data Analyst,MVP Studios,"A$66,739",A$65K - A$70K
Data Analyst,Independent Hospital Pricing Authority,"A$117,000",A$112K - A$122K
Data Analyst - Hourly,Andrew Liang,A$36,A$34 - A$37
Data Analyst,If Not Now Consulting,"A$90,000",A$86K - A$94K
Data Analyst - Hourly,Richmond Wheel & Castor,A$37,A$36 - A$39
Data Analyst,Slim Money,"A$129,563",A$124K - A$135K
Senior Data Analyst,Powercor Australia,"A$76,807",
Senior Data Analyst,Accenture,"A$99,500",
Senior Data Analyst,Commonwealth Bank of Australia,"A$106,870",A$99K - A$115K
Data Analytics Analyst,Commonwealth Bank of Australia,"A$80,683",A$69K - A$92K
Data Analyst,HCF (Australia),"A$82,000",A$79K - A$85K
Data Analyst - Hourly Intern,Canstar,A$25,A$24 - A$25
Data Analyst,Essential Energy,"A$95,000",A$92K - A$100K
Data Analyst,Halfbrick Studios,"A$64,385",A$62K - A$67K
Data Analyst - Intern,PayPal,"A$61,713",A$59K - A$64K
Data Analyst,Brightstar,"A$105,272",A$102K - A$110K
Data Analyst,Australian Administration Services,"A$71,237",A$69K - A$74K
Data Analyst,Carat,"A$86,919",A$83K - A$90K
Data Analyst,PepsiCo,"A$70,464",A$68K - A$73K
Data Analyst - Hourly,PHD Worldwide,A$28,A$27 - A$29
Data Analyst,Leo Burnett,"A$91,212",A$87K - A$95K
Data Analyst - Monthly,Maersk Group,"A$7,219",A$7K - A$7K
Data Analyst,Ambulance Victoria,"A$92,858",A$89K - A$97K
Data Analyst - Intern,"New South Wales Department of Finance, Services and Innovation","A$63,163",A$60K - A$66K
Data Analyst - Monthly,Jeanswest,"A$5,000",A$5K - A$5K
Data Analyst,iProspect,"A$60,000",A$58K - A$62K
Data Analyst,Australian Bureau of Meteorology,"A$98,058",A$93K - A$102K
Data Analyst,Pioneer Credit,"A$59,238",A$56K - A$62K
Data Analyst,FDM Group,"A$57,000",A$54K - A$59K
Data Analyst,Powerlink,"A$105,714",A$101K - A$110K
Data Analyst,Hansen Technologies,"A$55,000",A$53K - A$57K
Data Analyst,City West Water Limited,"A$114,114",A$110K - A$118K
Data Analyst,DEEWR,"A$87,902",A$85K - A$92K
Data Analyst,OpenText,"A$63,316",A$61K - A$65K
Data Analyst - Hourly Contractor,NSW Department of Planning and Environment,A$101,A$97 - A$104
Data Analyst,Commonwealth,"A$126,327",A$122K - A$131K
Data Analyst,Wunderman,"A$40,625",A$39K - A$42K
Data Analyst,Tata Consultancy Services (North America),"A$90,000",A$86K - A$94K
Data Analyst,National Hearing Centre,"A$74,159",A$71K - A$78K
Data Analyst,Ambition,"A$65,000",A$62K - A$68K
Data Analyst,Livingstone International,"A$46,285",A$45K - A$48K
Data Analyst,Healthcare Australia,"A$82,140",A$78K - A$85K
Data Analyst,Seeing Machines Limited,"A$98,000",A$94K - A$103K
Data Analyst,Munich Re,"A$75,115",A$72K - A$78K
Data Analyst,Cancer Council NSW,"A$90,041",A$86K - A$94K
Data Analyst,Federal Government,"A$81,472",A$78K - A$85K
Data Analyst,Western Australia Police,"A$84,218",A$81K - A$88K
Data Analyst,Aurion,"A$73,685",A$71K - A$77K
Data Analyst - Hourly,Resonate Solutions,A$32,A$31 - A$33
Data Analyst - Contractor,Wellways,"A$92,816",A$89K - A$97K
